"","SA","cancer","type"
"6f2172f6-926d-4ede-b078-11505a53fb6f",0.0135519307562642,"BLCA","tumor"
"5f7397b4-9770-406e-83d9-b70f3ec22471",0.0229821643773869,"BLCA","tumor"
"b232056e-59b2-4d05-983d-8740d6994a71",0.0644510483609316,"BLCA","tumor"
"b822a426-98c1-4976-9fc2-16347992ad78",0.373529047498646,"BLCA","tumor"
"cf1dad66-e423-4354-af7c-58fc2394967a",0.0599441248874773,"BLCA","tumor"
"eed135af-363b-4669-9270-3ada652f5f7e",0.00730448012184123,"BLCA","tumor"
"5ae9c833-487f-44b8-acf0-4cb87dd72b7f",0.0232034612310293,"BLCA","tumor"
"9a4517b1-170f-4bfb-8c4c-7cbdf64c737f",0.382266380789898,"BLCA","tumor"
"d2bbc61b-dca0-45aa-bfc7-e1023b433f81",0.269653602457004,"BLCA","tumor"
"16463364-f250-4d42-b5c6-309333e40b83",0.0676892948588498,"BLCA","tumor"
"4571a92e-a240-4a6d-bc50-8971bd299287",0.111747720619742,"BLCA","tumor"
"c3de4a5a-1832-49c8-8548-02baf5e2f58c",0.0279891580945702,"BLCA","tumor"
"90f8eb31-a33c-4434-90fc-b6721774d68c",0.0194969934951303,"BLCA","tumor"
"5dc3a5b2-d584-495f-bcc5-7a9ff36b7b92",0.0912469328324595,"BLCA","tumor"
"b5567e00-32aa-48d8-8087-1088c22b0994",0.046321626483028,"BLCA","tumor"
"ec4209c8-c1ad-47ff-a6d8-771d18270ea1",0.0313819709355304,"BLCA","tumor"
"61da3713-3dda-4bb8-8814-1e4aca3edfa2",0.0773107659511615,"BLCA","tumor"
"ed242fae-14d1-4804-9c96-281197d485a4",0.0214771323180071,"BLCA","tumor"
"6b3e9359-93bf-45f3-8039-cf28412822a4",0.000687049332214614,"BLCA","tumor"
"71ffdbde-13aa-4466-8880-82cf6f3c6ca6",0.35093501891372,"BLCA","tumor"
"357e9db4-908a-4c67-bb04-4ce59579d3aa",0.0197769044822852,"BLCA","tumor"
"d66bedca-2d42-4c45-9ade-ce2ab9c9c3b5",0.0262643327220602,"BLCA","tumor"
"d316c207-8020-47a7-8c2d-753cf42223b5",0,"BLCA","tumor"
"b40239c0-ba18-42ae-a1dd-3dfaec5c00b9",0.0107043588614121,"BLCA","tumor"
"8538d0a7-be16-41a9-901d-a2f4514e28ba",0.0311578395916829,"BLCA","tumor"
"74d6fe0b-5a0b-49d2-901a-caece30d5abb",0.014957536871093,"BLCA","tumor"
"ca896de2-aa8a-4ef4-8d8a-5d35f13011bd",0.0302010643894307,"BLCA","tumor"
"63351c27-1df5-45fd-a08f-6ad2b2af8bbf",0.0695777912620974,"BLCA","tumor"
"ffa0a012-76c8-4ad5-985d-27cebd96fbc3",0.0614797408494938,"BLCA","tumor"
"b5bc7140-9621-4c84-81ed-d556d765a0c6",0.114722877650898,"BLCA","tumor"
"bb8a3f9e-830a-45e2-a1ec-50020c63a7c9",0.341288388059517,"BLCA","tumor"
"080423ed-8369-44eb-85e1-33cab65c7acd",0.263142747003919,"BLCA","tumor"
"b387e79e-742f-418b-8aab-0c721218a7d2",0.0283640830183196,"BLCA","tumor"
"3ea1e767-bcad-4d3b-bf88-232aa2a00ad3",0.0229217909346988,"BLCA","tumor"
"1191e904-0bb3-4f16-8d17-154a3ee2f4d9",0.0444828243793353,"BLCA","tumor"
